RespondentId,ArticleId,ExternalId,Partisanship,Polarity,Pro-,Anti-
25828477,2919157,10684788,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828477,2919158,10684791,Onbevooroordeeld,Niet bevooroordeeld,,
25828477,2919197,10686200,Redelijk onbevooroordeeld,Links;Progressief,pro-conservatieven,anti-moslim
25828477,2919198,10686201,Onbevooroordeeld,Links;Progressief,anti-moslim,pro-conservatieven
25828477,2919199,10686216,Onbevooroordeeld,Links;Progressief,pro-kapitalist,anti-kapitalist
25828477,2919203,10686232,Onbevooroordeeld,Progressief,,
25828477,2919216,10686865,Onbevooroordeeld,Weet niet,,
25828488,2915612,10677494,Enigszins bevooroordeeld,Progressief,pro moeders,
25828488,2915644,10677711,Onbevooroordeeld,Anders,algemeen belang,
25828488,2915700,10678772,Enigszins bevooroordeeld,Rechts,Pro middenstand (Enschede),-
25828489,2913577,0,Enigszins bevooroordeeld,Anders,,
25828489,3007300,10804672,Redelijk onbevooroordeeld,Weet niet,,
25828489,3007306,10804787,Bevooroordeeld,Weet niet,,
25828489,3007357,10805516,Enigszins bevooroordeeld,Progressief;Conservatief,,
25828489,3007426,10806586,Onbevooroordeeld,Rechts;Conservatief,,
25828500,2923015,10686279,Onbevooroordeeld,Weet niet,,
25828500,2923016,10686273,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923018,10686271,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923021,0,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923022,10686276,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923023,10686348,Redelijk onbevooroordeeld,Weet niet,,
25828500,2923024,10686404,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923025,0,Onbevooroordeeld,Weet niet,,
25828500,2923026,10685498,Redelijk onbevooroordeeld,Weet niet,,
25828500,2923027,10685499,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923028,10686233,Onbevooroordeeld,Niet bevooroordeeld,,
25828500,2923029,10685997,Bevooroordeeld,Links,,
25828518,2923026,10685498,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,"alle artikelen gelezen op deze blz.

geen mening , informatief. ",informatief
25828518,2923031,10686009,Onbevooroordeeld,Niet bevooroordeeld,xx,xx
25828533,2961782,10747044,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961784,10747048,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961796,10747305,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961802,10747313,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961818,10747990,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828533,2961821,10747995,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961822,10747996,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961823,10747997,Onbevooroordeeld,Niet bevooroordeeld,,
25828533,2961825,10748052,Onbevooroordeeld,Niet bevooroordeeld,,
25828556,3001798,10796126,Redelijk onbevooroordeeld,Weet niet,,
25828556,3001801,10796133,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828556,3001805,10796141,Onbevooroordeeld,Weet niet,,
25828556,3001823,10796934,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828556,3001827,10796938,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828556,3001946,10799160,Onbevooroordeeld,Niet bevooroordeeld,,
25828556,3001948,10799163,Onbevooroordeeld,Niet bevooroordeeld,,
25828556,3001951,10799167,Enigszins bevooroordeeld,Weet niet,,
25828556,3001955,10799171,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828559,2916968,10682035,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917056,10682792,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917058,10682794,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917062,10682798,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917063,10682800,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917069,10682956,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917074,10683207,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917076,10683209,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917080,10683388,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917942,0,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917943,0,Onbevooroordeeld,Niet bevooroordeeld,,
25828559,2917944,10682821,Enigszins bevooroordeeld,Anders,,
25828559,2917945,10681641,Onbevooroordeeld,Niet bevooroordeeld,,
