RespondentId,Gender,Political_standpoint,Vote_for_party
25885519,M,(Gematigd) links,ChristenUnie
25889068,M,(Gematigd) links,GroenLinks
25829570,M,(Gematigd) links,PvdA
25833438,M,(Gematigd) links,SP
25837594,M,(Gematigd) links,GroenLinks
25848998,M,(Gematigd) links,PvdA
25838444,F,(Gematigd) links,GroenLinks
25845919,M,Midden,Weet ik (nog) niet
25867527,M,Midden,Weet ik (nog) niet
25853857,F,Midden,ChristenUnie
25850754,F,(Gematigd) links,GroenLinks
25832272,M,(Gematigd) links,GroenLinks
25866755,F,(Gematigd) links,GroenLinks
25837646,F,Midden,Weet ik (nog) niet
25859060,M,Midden,ChristenUnie
25835711,M,(Gematigd) links,GroenLinks
25829784,M,Midden,GroenLinks
25846442,F,(Gematigd) links,PvdA
25831649,F,Midden,PvdA
25832844,F,(Gematigd) links,GroenLinks
25838097,M,(Gematigd) links,PvdA
25830898,F,(Gematigd) links,Partij voor de Dieren
25844778,M,(Gematigd) links,GroenLinks
25841583,M,(Gematigd) links,GroenLinks
25858292,M,(Gematigd) rechts,D66
25840144,M,(Gematigd) rechts,Weet ik (nog) niet
25841997,M,Midden,Weet ik (nog) niet
25851169,F,Midden,PvdA
25848266,M,(Gematigd) links,PvdA
25857139,M,(Gematigd) links,PvdA
25860549,M,(Gematigd) links,PvdA
25863226,M,(Gematigd) links,GroenLinks
25856053,M,(Gematigd) links,PvdA
25862941,F,(Gematigd) links,Partij voor de Dieren
25848007,M,(Gematigd) links,Partij voor de Dieren
25835767,M,(Gematigd) links,GroenLinks
25861679,M,(Gematigd) links,GroenLinks
25831815,F,(Gematigd) links,D66
25860387,M,(Gematigd) links,GroenLinks
25850798,F,(Gematigd) links,D66
25836779,M,(Gematigd) links,GroenLinks
25838530,M,Midden,CDA
25836386,M,(Gematigd) links,Partij voor de Dieren
25855746,M,Midden,CDA
25865690,M,(Gematigd) links,PvdA
25857412,F,(Gematigd) rechts,VVD
25846409,M,Midden,VVD
25845918,M,(Gematigd) links,D66
25830990,M,Midden,CDA
25866769,M,Midden,Weet ik (nog) niet
25848757,M,(Gematigd) links,GroenLinks
25866741,F,(Gematigd) links,D66
25859410,M,(Gematigd) links,GroenLinks
25866093,M,(Gematigd) rechts,Forum voor Democratie
25832457,M,(Gematigd) links,GroenLinks
25829330,M,(Gematigd) links,PvdA
25850186,F,Midden,Wil ik niet zeggen
25849549,M,Midden,Weet ik (nog) niet
25842846,F,(Gematigd) links,PvdA
25855896,F,(Gematigd) links,GroenLinks
25867326,M,Midden,Weet ik (nog) niet
25855517,M,(Gematigd) links,GroenLinks
25842199,M,Midden,VVD
25865484,M,Midden,Weet ik (nog) niet
25829793,F,(Gematigd) links,Weet ik (nog) niet
25855879,F,Midden,ChristenUnie
25839118,F,(Gematigd) links,D66
25844139,M,(Gematigd) links,Weet ik (nog) niet
25836169,M,(Gematigd) links,PvdA
25866651,M,(Gematigd) rechts,Forum voor Democratie
25857993,M,(Gematigd) links,PvdA
25836835,M,Extreemlinks,"Andere partij, namelijk:"
25849343,M,(Gematigd) links,D66
25867101,F,Midden,Weet ik (nog) niet
25851551,M,(Gematigd) links,GroenLinks
25856674,M,Midden,VVD
25837706,M,Midden,VVD
25864662,F,(Gematigd) links,GroenLinks
